RoomType1,RoomType2,Relationship,Priority,RequiredConnection,PreferredDirection,MinDistance_M,MaxDistance_M,Notes
Art-Studio,Storage-Room,Adjacent,High,Direct,Any,0,5,Art supply storage
Art-Studio,Laundry-Room,Near,Medium,Corridor,Any,3,10,Cleaning access
Art-Studio,Living-Room,Separate,Medium,Corridor,Any,5,15,Mess separation
Pool-Room-Indoor,Mechanical-Room,Adjacent,Critical,Direct,Any,0,5,Pool equipment
Pool-Room-Indoor,Bathroom-Family,Adjacent,Critical,Direct,Any,0,3,Changing facilities
Pool-Room-Indoor,Gym-Home,Adjacent,High,Direct,Any,0,5,Fitness cluster
Pool-Room-Indoor,Bedroom-Master,Separate,Critical,Different-Floor,Any,15,999,Humidity control
Sauna,Bathroom-Family,Adjacent,Critical,Direct,Any,0,3,Shower access
Sauna,Pool-Room-Indoor,Adjacent,High,Direct,Any,0,5,Spa cluster
Sauna,Gym-Home,Adjacent,High,Corridor,Any,1,8,Wellness zone
Game-Room,Bar-Home,Adjacent,High,Direct,Any,0,3,Entertainment amenity
Game-Room,Home-Theater,Adjacent,Medium,Corridor,Any,0,8,Entertainment zone
Game-Room,Family-Room,Adjacent,Low,Flexible,Any,0,10,Recreation area
