RoomType,FurnitureItem,Quantity,MinClearance_MM,Placement,Priority,Dimensions_MM,Notes
Library,Reading_Chair,1-2,600,Corner or window,Essential,800x900x1100,Comfortable seating
Library,Side_Table,1-2,300,Beside chair,High,500x500x600,Lamp and reading material
Library,Desk,1,700,Against wall,Medium,1200x600x750,Writing surface
LaundryRoom,Washer,1,700,Against wall,Essential,600x600x900,Clothes washing
LaundryRoom,Dryer,1,600,Beside washer,Essential,600x600x900,Clothes drying
LaundryRoom,Utility_Sink,1,600,Against wall,Medium,500x500x900,Cleaning and soaking
LaundryRoom,Storage_Cabinet,1,300,Above appliances,High,1200x350x750,Detergent storage
LaundryRoom,Ironing_Board,1,300,Wall-mounted or freestanding,Low,350x1200x900,Ironing surface
MudRoom,Bench,1,600,Against wall,High,1200x400x450,Seating for shoes
MudRoom,Coat_Hooks,1,300,Above bench,Essential,1200x100x50,Coat storage
MudRoom,Shoe_Storage,1,300,Below bench,High,1200x400x300,Shoe organization
MudRoom,Storage_Cubbies,1,300,Wall-mounted,Medium,1200x350x400,Personal storage
Garage,Storage_Shelving,2-4,600,Along walls,High,1800x450x1800,Tool and equipment storage
Garage,Workbench,1,900,Against wall,Medium,2400x600x900,Repair and maintenance
Garage,Tool_Cabinet,1,600,Near workbench,Medium,900x450x1800,Tool organization
HomeTheater,Recliner,2-6,600,Rows facing screen,Essential,800x1000x1100,Theater seating
HomeTheater,Screen,1,1000,Front wall,Essential,2400x1350x100,Display surface
HomeTheater,Equipment_Rack,1,600,Side or rear,Essential,600x600x1200,AV equipment
Gym,Exercise_Equipment,1-3,1200,Spaced throughout,Essential,Variable,Fitness machines
Gym,Weight_Rack,1,900,Against wall,High,1200x600x1500,Free weights storage
Gym,Bench,1,1000,Central area,Medium,1200x400x450,Exercise bench
Gym,Mirror,1,300,Full wall,High,2400x1800,Wall-mounted
Workshop,Workbench,1,900,Against wall,Essential,2400x750x900,Work surface
Workshop,Tool_Storage,1,300,Above workbench,Essential,2400x300x600,Tool organization
Workshop,Storage_Cabinet,2-4,600,Along walls,High,900x450x1800,Material storage
