PrimaryFamily,RelatedFamily,RelationshipType,RequirementLevel,ProximityRule,MinDistance_MM,MaxDistance_MM,Quantity,Notes
Window,Curtain_Rod,Suggests,Low,Above,100,300,1,Window treatment
Door,Door_Frame,Requires,Critical,Surrounds,0,0,1,Door jamb and frame
Door,Door_Hardware,Requires,High,On,0,0,1,Handle/lockset
Floor,Floor_Finish,Suggests,High,On_Top,0,0,1,Floor covering
Wall,Wall_Finish,Suggests,High,On_Surface,0,0,1,Wall covering/paint
Ceiling,Ceiling_Finish,Suggests,High,On_Bottom,0,0,1,Ceiling finish material
Roof,Roof_Covering,Requires,Critical,On_Top,0,0,1,Roof weatherproofing
Column,Beam,Suggests,High,Supports,0,500,1-Multiple,Beam on column
Beam,Slab,Suggests,High,Supports,0,500,1,Slab on beam
Foundation,Column,Suggests,High,Supports,0,1000,1-Multiple,Column on foundation
Foundation,Wall,Suggests,High,Supports,0,500,1-Multiple,Wall on foundation
Electrical_Panel,Circuit_Breaker,Requires,Critical,Contains,0,0,Multiple,Breakers in panel
Circuit_Breaker,Conduit,Suggests,High,Feeds,0,1000,1,Circuit from breaker
Outlet,Conduit,Suggests,High,Fed_By,0,5000,1,Power to outlet
Light_Fixture,Conduit,Suggests,High,Fed_By,0,5000,1,Power to light
Switch,Conduit,Suggests,High,Fed_By,0,5000,1,Power to switch
Conduit,Junction_Box,Suggests,Medium,Terminates_At,0,10000,1-Multiple,Conduit connections
Cable_Tray,Cables,Requires,High,Contains,0,0,Multiple,Cables in tray
Duct,Duct_Insulation,Suggests,High,Wrapped_With,0,0,1,Duct thermal insulation
Pipe,Pipe_Insulation,Suggests,High,Wrapped_With,0,0,1,Pipe thermal insulation
Pipe,Pipe_Hanger,Suggests,High,Supported_By,0,2000,Multiple,Pipe support spacing
Duct,Duct_Support,Suggests,High,Supported_By,0,2400,Multiple,Duct support spacing
