EquipmentID,Name,Category,Width_MM,Height_MM,Depth_MM,Location,Mounting,Material,Heating_kW,Cooling_kW,Airflow_CFM,Description,Application,Standard,Cost_USD,Cost_UGX
MEP-PLM-009,Pump Sump 1/3-HP Submersible,Plumbing-Equipment,250,400,250,Sump-Pit,Submersible,Thermoplastic,0.25,0,50,Sump pump drainage,Basement protection,UL 778,200,740000
MEP-PLM-010,Pump Sewage Ejector 1/2-HP,Plumbing-Equipment,300,500,300,Ejector-Pit,Submersible,Cast-Iron,0.37,0,40,Sewage ejector pump,Below-grade plumbing,UL 778,600,2220000
MEP-PLM-011,Pump Booster Multistage 3-HP,Plumbing-Equipment,400,600,350,Mechanical,Floor-Mounted,Stainless-Steel,2.24,0,150,Multistage booster pump,Water pressure boost,ASME B73.1,2500,9250000
MEP-PLM-012,Water Softener 48000-Grain,Plumbing-Equipment,450,1400,450,Mechanical/Utility,Floor-Standing,FRP,0,0,0,Ion exchange water softener,Hard water treatment,NSF/ANSI 44,1200,4440000
MEP-PLM-013,Water Filter Whole-House Carbon,Plumbing-Equipment,300,1200,300,Mechanical/Utility,Floor/Wall,Plastic,0,0,15,Activated carbon filter,Chlorine/odor removal,NSF/ANSI 42,600,2220000
MEP-PLM-014,UV Water Purifier 12-GPM,Plumbing-Equipment,150,900,150,Mechanical/Utility,Wall/Pipe,Stainless-Steel,0.04,0,45,UV disinfection system,Bacteria/virus kill,NSF/ANSI 55,800,2960000
MEP-PLM-015,Backflow Preventer RPZ 2-Inch,Plumbing-Equipment,400,450,300,Exterior/Mechanical,Inline,Bronze,0,0,0,Reduced pressure zone device,Potable water protection,ASSE 1013,1500,5550000
MEP-ELC-001,Panel Main Residential 200-Amp,Electrical-Equipment,450,800,150,Garage/Utility,Wall-Mounted,Steel,48.0,0,0,200A main breaker panel,Residential service,UL 67,400,1480000
MEP-ELC-002,Panel Sub 100-Amp 24-Circuit,Electrical-Equipment,350,700,120,Various,Wall-Mounted,Steel,24.0,0,0,100A subpanel,Remote distribution,UL 67,250,925000
MEP-ELC-003,Panel Commercial 400-Amp MLO,Electrical-Equipment,600,1200,200,Electrical-Room,Wall/Floor,Steel,96.0,0,0,400A main lug only panel,Commercial distribution,UL 67,1500,5550000
MEP-ELC-004,Panelboard Lighting 225-Amp,Electrical-Equipment,500,1000,150,Electrical-Room,Wall-Mounted,Steel,54.0,0,0,Lighting panelboard,Branch circuits,UL 67,800,2960000
MEP-ELC-005,Switchboard 1200-Amp 480V,Electrical-Equipment,1800,2200,800,Electrical-Room,Floor-Mounted,Steel,288.0,0,0,Main distribution switchboard,Large building service,UL 891,8000,29600000
MEP-ELC-006,Transformer Dry 15-kVA,Electrical-Equipment,500,700,400,Electrical-Room,Floor/Wall,Steel/Copper,15.0,0,0,480V to 208V transformer,Voltage conversion,UL 1561,1200,4440000
MEP-ELC-007,Transformer Dry 45-kVA,Electrical-Equipment,700,900,500,Electrical-Room,Floor-Mounted,Steel/Copper,45.0,0,0,480V to 208V transformer,Medium commercial,UL 1561,2800,10360000
MEP-ELC-008,Transformer Dry 75-kVA,Electrical-Equipment,800,1100,600,Electrical-Room,Floor-Mounted,Steel/Copper,75.0,0,0,480V to 208V transformer,Large loads,UL 1561,4000,14800000
MEP-ELC-009,Transformer Pad-Mount 500-kVA,Electrical-Equipment,1800,1600,1200,Exterior-Pad,Pad-Mounted,Steel/Oil,500.0,0,0,Utility voltage transformer,Building service entrance,IEEE C57.12.28,25000,92500000
MEP-ELC-010,Generator Diesel 20-kW,Electrical-Equipment,1200,1000,700,Exterior-Pad,Outdoor,Steel,20.0,0,0,Standby diesel generator,Emergency power,UL 2200,8000,29600000
MEP-ELC-011,Generator Diesel 100-kW,Electrical-Equipment,2200,1800,1000,Exterior-Pad/Room,Outdoor/Indoor,Steel,100.0,0,0,Standby generator large,Building backup,UL 2200,35000,129500000
MEP-ELC-012,UPS Online 10-kVA,Electrical-Equipment,450,900,700,IT-Room,Floor/Rack,Steel/Battery,10.0,0,0,Uninterruptible power supply,Server protection,UL 1778,4000,14800000
MEP-ELC-013,UPS Online 30-kVA,Electrical-Equipment,600,1200,800,Electrical-Room,Floor-Mounted,Steel/Battery,30.0,0,0,Large UPS system,Data center,UL 1778,12000,44400000
MEP-ELC-014,ATS Automatic 200-Amp,Electrical-Equipment,500,800,300,Electrical-Room,Wall-Mounted,Steel,48.0,0,0,Automatic transfer switch,Generator switchover,UL 1008,2500,9250000
